# prediction,class
9.360223889855903701e-02,0.000000000000000000e+00
2.217902948108996519e-01,0.000000000000000000e+00
2.291001479975235677e-01,0.000000000000000000e+00
1.383818111988634469e-01,0.000000000000000000e+00
1.647873763557856641e-01,0.000000000000000000e+00
7.648822688236306400e-02,0.000000000000000000e+00
6.594389498441644015e-02,0.000000000000000000e+00
5.975660390905612740e-02,0.000000000000000000e+00
9.357631055068474368e-02,0.000000000000000000e+00
3.978782241944489595e-01,1.000000000000000000e+00
2.326230540733635055e-01,0.000000000000000000e+00
1.710839734226445030e-01,0.000000000000000000e+00
1.517072102954510060e-01,0.000000000000000000e+00
1.168744789556615538e-01,0.000000000000000000e+00
1.474149658151175657e-01,0.000000000000000000e+00
1.434579149882786453e-01,0.000000000000000000e+00
9.576368179278202386e-02,0.000000000000000000e+00
5.848055893331197130e-02,0.000000000000000000e+00
3.675999975585872437e-02,0.000000000000000000e+00
2.558291024449361739e-01,0.000000000000000000e+00
2.391703497949847768e-01,0.000000000000000000e+00
1.743923897451437333e-01,0.000000000000000000e+00
2.095039566863306779e-01,0.000000000000000000e+00
1.309836884918744726e-01,0.000000000000000000e+00
6.549079988981734712e-02,0.000000000000000000e+00
3.343420356596960019e-01,1.000000000000000000e+00
5.591861049430493780e-02,0.000000000000000000e+00
1.248295864856660553e-01,0.000000000000000000e+00
8.782887212694942547e-02,0.000000000000000000e+00
2.182495283517630613e-01,0.000000000000000000e+00
7.261118591575926873e-02,0.000000000000000000e+00
1.329112420769235636e-01,0.000000000000000000e+00
1.194545392786554583e-01,0.000000000000000000e+00
1.389556686447784850e-01,0.000000000000000000e+00
6.845900794678583257e-02,0.000000000000000000e+00
1.078151007469702050e-01,0.000000000000000000e+00
2.953426668609898664e-01,1.000000000000000000e+00
8.628883537490790179e-01,1.000000000000000000e+00
1.667043666708573069e-01,0.000000000000000000e+00
2.794438862310307803e-01,1.000000000000000000e+00
1.040891729345846672e-01,0.000000000000000000e+00
3.514902430527121480e-01,1.000000000000000000e+00
2.320766810382039746e-01,0.000000000000000000e+00
1.438898795121641150e-01,0.000000000000000000e+00
1.519488550710345609e-01,0.000000000000000000e+00
1.395705523602664977e-01,0.000000000000000000e+00
7.555119185488487488e-02,0.000000000000000000e+00
5.926025282260022342e-02,0.000000000000000000e+00
2.125358599771240697e-01,0.000000000000000000e+00
9.463737225875529235e-02,0.000000000000000000e+00
2.990979603601702230e-01,1.000000000000000000e+00
6.692571956635565145e-02,0.000000000000000000e+00
1.615976084119902789e-01,0.000000000000000000e+00
9.517675673237949163e-02,0.000000000000000000e+00
2.070563050411532158e-01,0.000000000000000000e+00
3.788903000651937525e-01,1.000000000000000000e+00
7.654522697286364474e-02,0.000000000000000000e+00
1.789036242422602785e-01,0.000000000000000000e+00
1.132241699443108096e-01,0.000000000000000000e+00
5.505442572898514020e-02,0.000000000000000000e+00
1.741380174045140394e-01,0.000000000000000000e+00
5.536981133005214328e-02,0.000000000000000000e+00
4.185966421140778493e-02,0.000000000000000000e+00
1.342619251115038104e-01,0.000000000000000000e+00
8.187802915451525276e-02,0.000000000000000000e+00
8.212680759859605772e-02,0.000000000000000000e+00
1.355332613330341440e-01,0.000000000000000000e+00
6.442575541522282956e-02,0.000000000000000000e+00
2.541992432593548346e-01,0.000000000000000000e+00
5.068821836921680313e-02,0.000000000000000000e+00
1.065831088140621330e-01,0.000000000000000000e+00
2.199077928653492553e-01,0.000000000000000000e+00
1.475592199189492970e-01,0.000000000000000000e+00
9.457883124305341283e-02,0.000000000000000000e+00
1.716762384167627442e-01,0.000000000000000000e+00
8.322456911711464955e-02,0.000000000000000000e+00
3.209381313189250129e-01,1.000000000000000000e+00
1.513984469909461783e-01,0.000000000000000000e+00
2.467330435850686177e-01,0.000000000000000000e+00
2.669573017172069962e-01,0.000000000000000000e+00
1.916661672058892762e-01,0.000000000000000000e+00
1.302366927199923863e-01,0.000000000000000000e+00
1.223094126990881547e-01,0.000000000000000000e+00
8.586620627512267512e-02,0.000000000000000000e+00
1.125128117879773959e-01,0.000000000000000000e+00
1.774233709203238696e-01,0.000000000000000000e+00
8.107355484192657613e-02,0.000000000000000000e+00
9.275829375652633324e-02,0.000000000000000000e+00
9.386338343898872894e-02,0.000000000000000000e+00
1.332936744084168845e-01,0.000000000000000000e+00
2.243187740713079303e-01,0.000000000000000000e+00
1.283097856591275121e-01,0.000000000000000000e+00
6.370815629084711218e-02,0.000000000000000000e+00
3.600566931367275014e-01,1.000000000000000000e+00
1.413302135986148900e-01,0.000000000000000000e+00
2.269334955797014108e-01,0.000000000000000000e+00
9.326163742609533402e-02,0.000000000000000000e+00
1.885058815907174889e-01,0.000000000000000000e+00
5.329976001263631025e-02,0.000000000000000000e+00
1.342122944822107811e-01,0.000000000000000000e+00
1.377100767648330726e-01,0.000000000000000000e+00
1.046412030911406665e-01,0.000000000000000000e+00
7.315226428011259441e-02,0.000000000000000000e+00
1.981464737688014288e-01,0.000000000000000000e+00
1.692930160388175509e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
8.359516300022007407e-02,0.000000000000000000e+00
1.637026123914209486e-01,0.000000000000000000e+00
1.018545612293854929e-01,0.000000000000000000e+00
6.061466107157692518e-02,0.000000000000000000e+00
1.780802172796948357e-01,0.000000000000000000e+00
1.192255817348346902e-01,0.000000000000000000e+00
7.169362047173574726e-02,0.000000000000000000e+00
1.331095738742036627e-01,0.000000000000000000e+00
4.582384557015568849e-02,0.000000000000000000e+00
6.642648946325108161e-02,0.000000000000000000e+00
6.191965951565245319e-02,0.000000000000000000e+00
3.130233363499367039e-02,0.000000000000000000e+00
2.568772753779762219e-01,0.000000000000000000e+00
1.049574082841840394e-01,0.000000000000000000e+00
9.385505997418025492e-02,0.000000000000000000e+00
5.446490681220503283e-02,0.000000000000000000e+00
3.985823319207242310e-01,1.000000000000000000e+00
2.245280907600588904e-01,0.000000000000000000e+00
1.529055123409909789e-01,0.000000000000000000e+00
9.594441369027892352e-02,0.000000000000000000e+00
8.705151774237718243e-02,0.000000000000000000e+00
1.575218503940134240e-01,0.000000000000000000e+00
2.680074133576736406e-01,0.000000000000000000e+00
1.605106692718880068e-01,0.000000000000000000e+00
4.769075267317823830e-01,1.000000000000000000e+00
1.680534714183568035e-01,0.000000000000000000e+00
1.204285154843908190e-01,0.000000000000000000e+00
1.443278806679300641e-01,0.000000000000000000e+00
1.195012836115906529e-01,0.000000000000000000e+00
2.798307155163390902e-01,1.000000000000000000e+00
2.944493431222923174e-01,1.000000000000000000e+00
3.999199697121056385e-01,1.000000000000000000e+00
2.968818788774624240e-02,0.000000000000000000e+00
1.411350723176577893e-01,0.000000000000000000e+00
3.100460875102359903e-01,1.000000000000000000e+00
5.541350050081259027e-02,0.000000000000000000e+00
2.081004051545037037e-01,0.000000000000000000e+00
5.922759649597958420e-02,0.000000000000000000e+00
1.879866401970492762e-01,0.000000000000000000e+00
1.838262248378111641e-01,0.000000000000000000e+00
4.005648888767771032e-01,1.000000000000000000e+00
1.644460783553518823e-01,0.000000000000000000e+00
2.995782571479317369e-01,1.000000000000000000e+00
1.647550357833643675e-01,0.000000000000000000e+00
1.061757222567626946e-01,0.000000000000000000e+00
1.564801315794561443e-01,0.000000000000000000e+00
1.719529957781760210e-01,0.000000000000000000e+00
9.055408123053459990e-02,0.000000000000000000e+00
1.272869383092169182e-01,0.000000000000000000e+00
1.945638783496328184e-01,0.000000000000000000e+00
5.454477392722040241e-02,0.000000000000000000e+00
9.471151469633717901e-02,0.000000000000000000e+00
8.411257127051263716e-02,0.000000000000000000e+00
3.229018212437161361e-01,1.000000000000000000e+00
2.183406679922882676e-01,0.000000000000000000e+00
1.259149109567035962e-01,0.000000000000000000e+00
1.489970519082035316e-01,0.000000000000000000e+00
1.532511192107730569e-01,0.000000000000000000e+00
1.131998935781606541e-01,0.000000000000000000e+00
9.294286484988131813e-02,0.000000000000000000e+00
3.256518265752068597e-01,1.000000000000000000e+00
6.203782743096528107e-02,0.000000000000000000e+00
1.633804226164312923e-01,0.000000000000000000e+00
1.348767682279348457e-01,0.000000000000000000e+00
2.174415135500417928e-01,0.000000000000000000e+00
1.916857718343280836e-01,0.000000000000000000e+00
1.079598833654894230e-01,0.000000000000000000e+00
2.230115462528371173e-01,0.000000000000000000e+00
1.965361662597455983e-01,0.000000000000000000e+00
1.446970401623893787e-01,0.000000000000000000e+00
3.180430402500892262e-01,1.000000000000000000e+00
1.016724457833459161e-01,0.000000000000000000e+00
1.021967615950085118e-01,0.000000000000000000e+00
3.727674486863769010e-01,1.000000000000000000e+00
1.524126208068432020e-01,0.000000000000000000e+00
2.379420295552046871e-01,0.000000000000000000e+00
1.176871453726875405e-01,0.000000000000000000e+00
